"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Percy Jackson : le voleur de foudre FRENCH HDLight 1080p 2010";"0";"0";"1.74GB";"17/01/2020";"Films";"Fantastique";"Un jeune homme découvre qu'il est le descendant d'un dieu grec et s'embarque, avec l'aide d'un satyre et de la fille d'Athena, dans une dangereuse aventure pour résoudre une guerre entre dieux. Sur sa route, il devra affronter une horde d'ennemis mythologiques bien décidés à le stopper."
"Manon, secrétaire débutante FRENCH WEBRIP x264 2015";"132";"170";"246.78MB";"17/01/2020";"Porno";"XXX";NA
"Rupture fatale FRENCH WEBRIP 2020";"977";"2458";"1.37GB";"17/01/2020";"Films";"Policier,Thriller";"Une femme divorcée entame une nouvelle relation amoureuse. L'euphorie ne dure pas très longtemps car rapidement elle découvre des sombres secrets sur son compagnon..."
"Ninokuni FRENCH WEBRIP 2020";"18";"189";"694.24MB";"17/01/2020";"Films";"Animation";"Les camarades de lycée Yuu et Haru voyagent entre le monde réel et un univers parallèle fantastique pour aider leur amie Kotona, dont la vie est menacée."
"Boomerang TRUEFRENCH DVDRIP 1992";"419";"358";"704.09MB";"17/01/2020";"Films";"Comédie";"Marcus Graham est un séducteur à qui aucune femme ne semble résister. Aucune mise à part Jacqueline, son nouveau chef, et qui semble désespérément indifférente à ses charmes de Don Juan. Mais lorsque Marcus, en désespoir de cause, va se consoler auprès d'Angela, Jacqueline décide de le récupérer..."
"Numéro quatre TRUEFRENCH HDLight 1080p 2011";"289";"570";"2.87GB";"17/01/2020";"Films";"Sciencefiction";"Trois sont déjà morts. Qui sera le quatrième ? Un adolescent extraordinaire, John Smith, fuit devant des ennemis prêts à tout pour le détruire. Changeant perpétuellement d’identité, ne restant jamais longtemps dans la même ville, il est accompagné par Henri, qui veille sur lui. Partout où il va, John est le nouveau venu, celui qui n’a aucun passé. Dans la petite ville de l’Ohio où il s’est installé, il va vivre des événements inattendus qui vont changer sa vie. De son premier amour à la découverte de ses incroyables aptitudes, il va aussi se lier à des personnes qui partagent son fascinant destin…"
"Brooklyn Affairs FRENCH DVDRIP 2019";"438";"627";"1.37GB";"17/01/2020";"Films";"Policier,Thriller";"New York dans les années 1950. Lionel Essrog, détective privé souffrant du syndrome de Gilles de la Tourette, enquête sur le meurtre de son mentor et unique ami Frank Minna. Grâce aux rares indices en sa possession et à son esprit obsessionnel, il découvre des secrets dont la révélation pourrait avoir des conséquences sur la ville de New York… Des clubs de jazz de Harlem aux taudis de Brooklyn, jusqu'aux quartiers chics de Manhattan, Lionel devra affronter l'homme le plus redoutable de la ville pour sauver l'honneur de son ami disparu. Et peut-être aussi la femme qui lui assurera son salut…"
"1917 TRUEFRENCH DVDSCR MD 2020";"342";"522";"1.31GB";"17/01/2020";"Films";"Drame";NA
"La Finale FRENCH HDlight 1080p 2018";"213";"113";"2.07GB";"16/01/2020";"Films";"Comédie";"Toute la famille Verdi est aux petits soins pour s’occuper de Roland, le grand-père, qui perd un peu la boule ces derniers temps. Tous sauf JB, l'ado de la famille, qui n'a qu'un seul but : monter à Paris pour disputer sa finale de basket. Mais ses parents, bloqués ce week-end-là, lui demandent d’y renoncer pour surveiller son grand-père. JB décide alors de l’embarquer avec lui… Pendant ce voyage, rien ne se passera comme prévu…"
"Le Mystère Henri Pick FRENCH DVDRIP 2019";"538";"165";"693.14MB";"16/01/2020";"Films";"Comédie";"Dans une étrange bibliothèque au cœur de la Bretagne, une jeune éditrice découvre un manuscrit extraordinaire qu'elle décide aussitôt de publier. Le roman devient un best-seller. Mais son auteur, Henri Pick, un pizzaïolo breton décédé deux ans plus tôt, n'aurait selon sa veuve jamais écrit autre chose que ses listes de courses. Persuadé qu'il s'agit d'une imposture, un célèbre critique littéraire décide de mener l'enquête, avec l'aide inattendue de la fille de l'énigmatique Henri Pick."
