"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Servant S01E10 FINAL FRENCH HDTV";"0";"0";"265.64MB";"17/01/2020";"Séries";"VF";"Après avoir perdu son bébé, un couple utilise une poupée à des fins thérapeutiques. Les choses virent cependant à l’étrange quand la mère engage une nourrice pour s’occuper de la poupée, et que les membres de la famille semblent en savoir plus sur la tragédie qu’ils ne le laissent savoir…"
"Le Bureau des Légendes Saison 4 FRENCH HDTV";"0";"0";"3.33GB";"17/01/2020";"Séries";"VF";"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. Ces personnes sont chargées de repérer d'éventuels informateurs."
"Le Bureau des Légendes Saison 3 FRENCH HDTV";"0";"0";"4.63GB";"17/01/2020";"Séries";"VF";"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. Ces personnes sont chargées de repérer d'éventuels informateurs."
"Le Bureau des Légendes Saison 2 FRENCH HDTV";"0";"0";"4.6GB";"17/01/2020";"Séries";"VF";"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. Ces personnes sont chargées de repérer d'éventuels informateurs."
"Le Bureau des Légendes Saison 1 FRENCH HDTV";"0";"0";"4.62GB";"17/01/2020";"Séries";"VF";"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. Ces personnes sont chargées de repérer d'éventuels informateurs."
"Van Helsing S04E11 FRENCH HDTV";"3";"14";"376.33MB";"17/01/2020";"Séries";"VF";"Vanessa \"Van\" Helsing, descendante du grand Abraham Van Helsing, est ressuscitée dans un monde post-apocalyptique ravagé par des vampires assoiffés de sang. S'entourant de plusieurs alliés durant son périple, la jeune femme devra mener une véritable résistance pour permettre à la race humaine d'avoir une chance de subsister."
"Blindspot S04E19 FRENCH HDTV";"2";"14";"372.46MB";"17/01/2020";"Séries";"VF";"Une jeune femme amnésique est retrouvée totalement nue en plein milieu de Times Square à New York, recouverte de tatouages mystérieux, fraîchement réalisés. Un agent du FBI, chargé de l'enquête, suit les indices dispersés sur son corps, qui révèlent bientôt une conspiration de grande ampleur..."
"Diary of a Future President S01E01 FRENCH HDTV";"4";"16";"196.64MB";"17/01/2020";"Séries";"VF";"Une adolescente cubano-américaine de douze ans souhaite devenir la future présidente des Etats-Unis. Mais, pour le moment, elle confie son quotidien de collégienne dans son journal intime."
"Diary of a Future President S01E01 VOSTFR HDTV";"3";"2";"175.26MB";"17/01/2020";"Séries";"VOSTFR";"Une adolescente cubano-américaine de douze ans souhaite devenir la future présidente des Etats-Unis. Mais, pour le moment, elle confie son quotidien de collégienne dans son journal intime."
"Mr. Inbetween S02E10 VOSTFR HDTV";"21";"35";"193.66MB";"17/01/2020";"Séries";"VOSTFR";"Bien occupé avec son business de collecte des dettes et le trafic de drogue et d'armes, Ray Shoesmith doit en plus jongler entre ses rôles d'ex-mari, de père, de petit ami et de meilleur ami."
"Mr. Inbetween S02E09 VOSTFR HDTV";"22";"38";"230.36MB";"17/01/2020";"Séries";"VOSTFR";"Bien occupé avec son business de collecte des dettes et le trafic de drogue et d'armes, Ray Shoesmith doit en plus jongler entre ses rôles d'ex-mari, de père, de petit ami et de meilleur ami."
"Sex Education Saison 2 VOSTFR HDTV";"10";"164";"3.77GB";"17/01/2020";"Séries";"VOSTFR";"La rebelle Maeve entraîne Otis, un ado vierge mais doté d'une mère sexologue, dans la création d'une cellule de thérapie sexuelle clandestine au sein de leur lycée..."
"Young Sheldon S03E12 VOSTFR HDTV";"272";"119";"157.94MB";"17/01/2020";"Séries";"VOSTFR";"Dans ce prequel de The Big Bang Theory centré sur la jeunesse de Sheldon Cooper, le jeune prodige, doué d'une intelligence sans pareil pour les sciences et les mathématiques, apprend à ses dépens que ces qualités ne sont pas d'une grande aide dans l'est du Texas, où l'Eglise et le football sont rois. Très vite, sa différence impacte les membres de sa famille. Et lorsqu'il intègre, à l'âge de 9 ans, le lycée, le jeune garçon, vulnérable et naïf, va devoir faire face au monde qui l'entoure."
"Ares Saison 1 FRENCH HDTV";"300";"524";"955.86MB";"17/01/2020";"Séries";"VF";"Alors que son ami est victime d'un étrange accident, Rosa réalise que la société secrète qu'ils viennent d'intégrer est liée aux heures sombres de l'histoire hollandaise."
"Ares Saison 1 VOSTFR HDTV";"23";"74";"1.58GB";"17/01/2020";"Séries";"VOSTFR";"Alors que son ami est victime d'un étrange accident, Rosa réalise que la société secrète qu'ils viennent d'intégrer est liée aux heures sombres de l'histoire hollandaise."
